성별,성별코드,나이,수면시간,하루공부시간,SNS사용시간,중간,기말,과제,총점,A등급여부
남,0,18,7.9,3.2,2.1,63,69,66,66.3,0
여,1,18,7.1,4.1,0.6,59,57,89,67.2,0
남,0,20,7.4,5.2,2.1,51,97,70,75.1,0
남,0,19,8.7,4.3,2.0,58,78,54,64.8,0
남,0,22,6.8,5.3,1.9,52,52,90,63.4,0
여,1,29,6.2,3.1,2.8,70,65,62,65.6,0
남,0,27,7.0,3.8,3.1,75,78,63,72.6,0
남,0,23,7.9,4.3,2.5,57,48,83,61.2,0
남,0,24,7.1,1.2,1.9,51,69,52,58.5,0
여,1,21,7.8,5.0,2.9,55,59,61,58.4,0
남,0,24,5.7,1.6,0.8,77,48,82,66.9,0
남,0,28,5.5,4.5,1.4,78,89,76,81.8,0
남,0,25,5.8,4.2,1.5,75,56,72,66.5,0
남,0,28,5.0,1.2,2.0,74,76,95,81.1,0
여,1,18,6.6,1.2,2.4,61,76,42,61.3,0
남,0,23,6.0,4.9,1.8,54,72,93,72.9,0
여,1,25,8.0,4.7,1.3,83,57,58,65.1,0
여,1,22,5.0,2.6,2.8,86,75,62,74.4,0
여,1,21,8.4,2.6,1.8,64,58,68,62.8,0
남,0,19,5.3,4.0,2.1,93,64,69,74.2,0
여,1,23,5.0,3.5,2.4,85,62,78,73.7,0
남,0,23,5.5,4.6,2.0,64,73,83,73.3,0
여,1,28,8.8,4.0,2.0,92,50,86,73.4,0
여,1,18,6.5,5.1,2.8,72,76,64,71.2,0
여,1,26,7.1,4.5,2.1,55,73,76,68.5,0
여,1,29,6.3,4.2,2.7,93,87,86,88.5,1
여,1,28,6.4,3.1,2.4,92,46,47,60.1,0
여,1,23,5.9,3.1,3.6,94,67,81,79.3,0
여,1,20,6.6,3.4,2.3,70,63,97,75.3,0
여,1,21,7.1,5.3,2.5,72,75,55,68.1,0
남,0,29,8.5,3.1,2.9,92,95,47,79.7,0
남,0,28,4.3,3.8,2.1,65,49,40,51.1,0
여,1,21,8.4,1.3,1.5,64,63,83,69.3,0
여,1,20,7.1,4.2,1.6,74,78,44,66.6,0
여,1,27,6.1,5.8,1.6,85,54,42,59.7,0
남,0,20,5.8,2.6,1.2,60,69,40,57.6,0
여,1,20,7.8,6.7,2.3,64,46,43,50.5,0
